aircraft_id,manufacturer,model,year,engines,seats,max_weight_pounds
N101DQ,AIRBUS,A321-211,2020.0,2.0,199.0,"20,000 and more"
N101DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2018.0,2.0,133.0,"20,000 and more"
N101HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N101NN,AIRBUS INDUSTRIE,A321-231,2013.0,2.0,379.0,"20,000 and more"
N102DN,AIRBUS,A321-211,2020.0,2.0,199.0,"20,000 and more"
N102HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N102NN,AIRBUS,A321-231,2013.0,2.0,379.0,"20,000 and more"
N102UW,AIRBUS INDUSTRIE,A320-214,1998.0,2.0,182.0,"20,000 and more"
N103DY,AIRBUS,A321-211,2020.0,2.0,199.0,"20,000 and more"
N103HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N103NN,AIRBUS,A321-231,2013.0,2.0,379.0,"20,000 and more"
N103SY,EMBRAER S A,ERJ 170-200 LL,2014.0,2.0,88.0,"20,000 and more"
N103US,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N104HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N104NN,AIRBUS,A321-231,2013.0,2.0,379.0,"20,000 and more"
N104UW,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N105DX,AIRBUS,A321-211,2020.0,2.0,199.0,"20,000 and more"
N105HQ,EMBRAER,ERJ 170-200 LR,2007.0,2.0,88.0,"20,000 and more"
N105NN,AIRBUS,A321-231,2013.0,2.0,379.0,"20,000 and more"
N105SY,EMBRAER S A,ERJ 170-200 LL,2014.0,2.0,88.0,"20,000 and more"
N105UW,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N106DN,AIRBUS,A321-211,2020.0,2.0,199.0,"20,000 and more"
N106HQ,EMBRAER,ERJ 170-200 LR,2007.0,2.0,88.0,"20,000 and more"
N106NN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N106SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N107DN,AIRBUS,A321-211,2020.0,2.0,199.0,"20,000 and more"
N107HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N107NN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N107SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N107US,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N108DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N108HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N108NN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N108SY,EMBRAER S A,ERJ 170-200 LL,2014.0,2.0,88.0,"20,000 and more"
N108UW,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N109DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N109DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N109HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N109NN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N109SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N109UW,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N110AN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N110DX,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N110HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N110SY,EMBRAER S A,ERJ 170-200 LL,2014.0,2.0,88.0,"20,000 and more"
N110UW,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N111DC,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N111HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N111NG,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N111US,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N111ZM,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N11206,BOEING,737-824,2000.0,2.0,149.0,"20,000 and more"
N112AN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N112DN,AIRBUS SAS,A321-211,2021.0,2.0,222.0,"20,000 and more"
N112DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N112HQ,EMBRAER,ERJ 170-200 LR,2007.0,2.0,88.0,"20,000 and more"
N112US,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N113AN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N113DQ,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N113DX,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N113HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N114DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N114DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N114HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N114SY,EMBRAER,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N114UW,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N115DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N115DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N115HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N115NN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N116AN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N116DN,AIRBUS SAS,A321-211,2021.0,2.0,222.0,"20,000 and more"
N116DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N116HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N116SY,EMBRAER S A,ERJ 170-200 LL,2014.0,2.0,88.0,"20,000 and more"
N117AN,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N117DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N117DX,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N117HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N117SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N117UW,AIRBUS INDUSTRIE,A320-214,2000.0,2.0,182.0,"20,000 and more"
N118DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N118DY,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N118HQ,EMBRAER,ERJ 170-200 LR,2007.0,2.0,88.0,"20,000 and more"
N118NN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N118SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N118US,AIRBUS INDUSTRIE,A320-214,2000.0,2.0,182.0,"20,000 and more"
N119DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N119DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N119HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N119NN,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N119SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N119US,AIRBUS INDUSTRIE,A320-214,2000.0,2.0,182.0,"20,000 and more"
N12004,BOEING,787-10,2019.0,2.0,120.0,"20,000 and more"
N12005,BOEING,787-10,2019.0,2.0,120.0,"20,000 and more"
N12006,BOEING,787-10,2019.0,2.0,120.0,"20,000 and more"
N1200K,BOEING,767-332,1998.0,2.0,330.0,"20,000 and more"
N12010,BOEING,787-10,2019.0,2.0,120.0,"20,000 and more"
N12012,BOEING,787-10,2020.0,2.0,120.0,"20,000 and more"
N1201P,BOEING,767-332,1998.0,2.0,330.0,"20,000 and more"
N12020,BOEING,787-10,2022.0,2.0,120.0,"20,000 and more"
N12021,BOEING,787-10,2022.0,2.0,120.0,"20,000 and more"
N12028,AIRBUS,A319-115,2015.0,2.0,147.0,"20,000 and more"
N120DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N120DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N120EE,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N120HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N120SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N12109,BOEING,757-224,1994.0,2.0,178.0,"20,000 and more"
N12114,BOEING,757-224,1995.0,2.0,178.0,"20,000 and more"
N12116,BOEING,757-224,1996.0,2.0,178.0,"20,000 and more"
N12125,BOEING,757-224,1998.0,2.0,178.0,"20,000 and more"
N121AN,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N121DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N121DZ,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N121HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N121SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N121UW,AIRBUS INDUSTRIE,A320-214,2000.0,2.0,182.0,"20,000 and more"
N12216,BOEING,737-824,1998.0,2.0,149.0,"20,000 and more"
N12218,BOEING,737-824,1998.0,2.0,149.0,"20,000 and more"
N12221,BOEING,737-824,1998.0,2.0,149.0,"20,000 and more"
N12225,BOEING,737-824,1998.0,2.0,149.0,"20,000 and more"
N12238,BOEING,737-824,1999.0,2.0,149.0,"20,000 and more"
N122DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N122DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N122HQ,EMBRAER,ERJ 170-200 LR,2007.0,2.0,88.0,"20,000 and more"
N122NN,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N122SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N122US,AIRBUS INDUSTRIE,A320-214,2000.0,2.0,182.0,"20,000 and more"
N123DQ,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N123DW,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N123HQ,EMBRAER,ERJ 170-200 LR,2007.0,2.0,88.0,"20,000 and more"
N123NN,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N123UW,AIRBUS INDUSTRIE,A320-214,2000.0,2.0,182.0,"20,000 and more"
N124AA,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N124DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N124DX,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N124HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N124SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N124US,AIRBUS INDUSTRIE,A320-214,2000.0,2.0,182.0,"20,000 and more"
N125AA,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N125DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N125DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N125HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N125SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N125UW,AIRBUS,A320-214,2009.0,2.0,182.0,"20,000 and more"
N126AN,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N126DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N126DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N126HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008.0,2.0,80.0,"20,000 and more"
N126UW,AIRBUS,A320-214,2009.0,2.0,182.0,"20,000 and more"
N12754,BOEING,737-7V3,2002.0,2.0,149.0,"20,000 and more"
N127AA,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N127DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N127DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N127HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008.0,2.0,80.0,"20,000 and more"
N127SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N127UW,AIRBUS,A320-214,2010.0,2.0,182.0,"20,000 and more"
N128AN,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N128DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N128DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N128HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008.0,2.0,80.0,"20,000 and more"
N128SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N128UW,AIRBUS,A320-214,2010.0,2.0,182.0,"20,000 and more"
N129AA,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N129DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N129HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008.0,2.0,80.0,"20,000 and more"
N13013,BOEING,787-10,2020.0,2.0,120.0,"20,000 and more"
N13014,BOEING,787-10,2023.0,2.0,120.0,"20,000 and more"
N13018,BOEING,787-10,2022.0,2.0,120.0,"20,000 and more"
N130AN,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N130DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2020.0,2.0,133.0,"20,000 and more"
N130HQ,EMBRAER,ERJ 170-200 LR,2008.0,2.0,88.0,"20,000 and more"
N130SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N13110,BOEING,757-224,1994.0,2.0,178.0,"20,000 and more"
N13113,BOEING,757-224,1995.0,2.0,178.0,"20,000 and more"
N13138,BOEING,757-224,1999.0,2.0,178.0,"20,000 and more"
N131DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2020.0,2.0,133.0,"20,000 and more"
N131EV,BOMBARDIER INC,CL-600-2D24,2009.0,2.0,95.0,"20,000 and more"
N131HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008.0,2.0,80.0,"20,000 and more"
N131NN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N131SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N13227,BOEING,737-824,1999.0,2.0,149.0,"20,000 and more"
N13248,BOEING,737-824,1999.0,2.0,149.0,"20,000 and more"
N132AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N132DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2020.0,2.0,133.0,"20,000 and more"
N132EV,BOMBARDIER INC,CL-600-2D24,2009.0,2.0,95.0,"20,000 and more"
N132HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008.0,2.0,80.0,"20,000 and more"
N132SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N133AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N133DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2020.0,2.0,133.0,"20,000 and more"
N133EV,BOMBARDIER INC,CL-600-2D24,2009.0,2.0,95.0,"20,000 and more"
N133HQ,EMBRAER,ERJ 170-200 LR,2008.0,2.0,88.0,"20,000 and more"
N133SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N134AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N134DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2020.0,2.0,133.0,"20,000 and more"
N134EV,BOMBARDIER INC,CL-600-2D24,2009.0,2.0,95.0,"20,000 and more"
N134HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008.0,2.0,80.0,"20,000 and more"
N134SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N135DQ,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2020.0,2.0,133.0,"20,000 and more"
N135EV,BOMBARDIER INC,CL-600-2D24,2009.0,2.0,95.0,"20,000 and more"
N135HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008.0,2.0,80.0,"20,000 and more"
N135NN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N135SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N136AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N136DQ,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2020.0,2.0,133.0,"20,000 and more"
N136EV,BOMBARDIER INC,CL-600-2D24,2009.0,2.0,95.0,"20,000 and more"
N136HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008.0,2.0,80.0,"20,000 and more"
N136SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N13716,BOEING,737-724,1998.0,2.0,149.0,"20,000 and more"
N13718,BOEING,737-724,1999.0,2.0,149.0,"20,000 and more"
N13720,BOEING,737-724,1999.0,2.0,149.0,"20,000 and more"
N13750,BOEING,737-724,1999.0,2.0,149.0,"20,000 and more"
N137AA,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N137DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2020.0,2.0,133.0,"20,000 and more"
N137EV,BOMBARDIER INC,CL-600-2D24,2009.0,2.0,95.0,"20,000 and more"
N137HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008.0,2.0,80.0,"20,000 and more"
N138EV,BOMBARDIER INC,CL-600-2D24,2009.0,2.0,95.0,"20,000 and more"
N138HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008.0,2.0,80.0,"20,000 and more"
N138SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N13954,BOEING,787-9,2015.0,2.0,422.0,"20,000 and more"
N139AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N139SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N14001,BOEING,787-10,2018.0,2.0,120.0,"20,000 and more"
N14011,BOEING,787-10,2019.0,2.0,120.0,"20,000 and more"
N14016,BOEING,787-10,2022.0,2.0,120.0,"20,000 and more"
N14019,BOEING,787-10,2022.0,2.0,120.0,"20,000 and more"
N140AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N140SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N14102,BOEING,757-224,1994.0,2.0,178.0,"20,000 and more"
N14106,BOEING,757-224,1994.0,2.0,178.0,"20,000 and more"
N14107,BOEING,757-224,1994.0,2.0,178.0,"20,000 and more"
N14115,BOEING,757-224,1995.0,2.0,178.0,"20,000 and more"
N14118,BOEING,757-224,1997.0,2.0,178.0,"20,000 and more"
N14120,BOEING,757-224,1997.0,2.0,178.0,"20,000 and more"
N141NN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N141SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N14214,BOEING,737-824,1998.0,2.0,149.0,"20,000 and more"
N14219,BOEING,737-824,1998.0,2.0,149.0,"20,000 and more"
N14228,BOEING,737-824,1999.0,2.0,149.0,"20,000 and more"
N14230,BOEING,737-824,1999.0,2.0,149.0,"20,000 and more"
N14231,BOEING,737-824,1999.0,2.0,149.0,"20,000 and more"
N14235,BOEING,737-824,1999.0,2.0,149.0,"20,000 and more"
N14237,BOEING,737-824,1999.0,2.0,149.0,"20,000 and more"
N14240,BOEING,737-824,1999.0,2.0,149.0,"20,000 and more"
N14242,BOEING,737-824,1999.0,2.0,149.0,"20,000 and more"
N14249,BOEING,737-824,1999.0,2.0,149.0,"20,000 and more"
N14250,BOEING,737-824,1999.0,2.0,149.0,"20,000 and more"
N142AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N142DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2022.0,2.0,133.0,"20,000 and more"
N142SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N143AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N143DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2022.0,2.0,133.0,"20,000 and more"
N143SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N144AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N144SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N14502,AIRBUS S A S,A321-271NX,2023.0,2.0,246.0,"20,000 and more"
N14503,AIRBUS S A S,A321-271NX,2023.0,2.0,246.0,"20,000 and more"
N14504,AIRBUS S A S,A321-271NX,2024.0,2.0,246.0,"20,000 and more"
N14506,AIRBUS S A S,A321-271NX,2024.0,2.0,246.0,"20,000 and more"
N14509,AIRBUS,A321-271NX,2024.0,2.0,246.0,"20,000 and more"
N14520,AIRBUS S A S,A321-271NX,2024.0,2.0,246.0,"20,000 and more"
N14521,AIRBUS S A S,A321-271NX,2024.0,2.0,246.0,"20,000 and more"
N145AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N145DQ,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2022.0,2.0,133.0,"20,000 and more"
N145SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N146AA,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N146PQ,BOMBARDIER INC,CL-600-2D24,2007.0,2.0,95.0,"20,000 and more"
N14704,BOEING,737-724,1998.0,2.0,149.0,"20,000 and more"
N14731,BOEING,737-724,1999.0,2.0,149.0,"20,000 and more"
N14735,BOEING,737-724,1999.0,2.0,149.0,"20,000 and more"
N147AA,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N147PQ,BOMBARDIER INC,CL-600-2D24,2007.0,2.0,95.0,"20,000 and more"
N148AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N148SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N149AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N149SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N150NN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N150SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N150UW,AIRBUS,A321-211,2013.0,2.0,199.0,"20,000 and more"
N151AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N151SY,EMBRAER S A,ERJ 170-200 LR,2015.0,2.0,88.0,"20,000 and more"
N151UW,AIRBUS,A321-211,2013.0,2.0,199.0,"20,000 and more"
N152AA,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N152SY,EMBRAER S A,ERJ 170-200 LR,2016.0,2.0,88.0,"20,000 and more"
N152UW,AIRBUS,A321-211,2013.0,2.0,199.0,"20,000 and more"
N153AN,AIRBUS,A321-231,2015.0,2.0,379.0,"20,000 and more"
N153PQ,BOMBARDIER INC,CL-600-2D24,2007.0,2.0,95.0,"20,000 and more"
N153SY,EMBRAER S A,ERJ 170-200 LR,2016.0,2.0,88.0,"20,000 and more"
N153UW,AIRBUS,A321-211,2013.0,2.0,199.0,"20,000 and more"
N154AA,AIRBUS,A321-231,2016.0,2.0,379.0,"20,000 and more"
N154SY,EMBRAER S A,ERJ 170-200 LR,2016.0,2.0,88.0,"20,000 and more"
N154UW,AIRBUS,A321-211,2013.0,2.0,199.0,"20,000 and more"
N155NN,AIRBUS,A321-231,2016.0,2.0,379.0,"20,000 and more"
N155UW,AIRBUS,A321-211,2013.0,2.0,199.0,"20,000 and more"
N156AN,AIRBUS,A321-231,2016.0,2.0,379.0,"20,000 and more"
N156SY,EMBRAER,ERJ 170-200 LR,2016.0,2.0,88.0,"20,000 and more"
N156UW,AIRBUS,A321-211,2013.0,2.0,199.0,"20,000 and more"
N15710,BOEING,737-724,1998.0,2.0,149.0,"20,000 and more"
N15712,BOEING,737-724,1998.0,2.0,149.0,"20,000 and more"
N15751,BOEING,737-71Q,1999.0,2.0,149.0,"20,000 and more"
N157AA,AIRBUS,A321-231,2016.0,2.0,379.0,"20,000 and more"
N157SY,EMBRAER S A,ERJ 170-200 LR,2016.0,2.0,88.0,"20,000 and more"
N157UW,AIRBUS,A321-211,2013.0,2.0,199.0,"20,000 and more"
N158AN,AIRBUS,A321-231,2016.0,2.0,379.0,"20,000 and more"
N15969,BOEING,787-9,2017.0,2.0,422.0,"20,000 and more"
N159AN,AIRBUS,A321-231,2016.0,2.0,379.0,"20,000 and more"
N16008,BOEING,787-10,2019.0,2.0,120.0,"20,000 and more"
N16009,BOEING,787-10,2019.0,2.0,120.0,"20,000 and more"
N1602,BOEING,767-332,1999.0,2.0,330.0,"20,000 and more"
